City,GMT,Local Start Time,GMT Start Time,Local end time,Continent,Total by Regions,Timezone prime
"Barcelona, Spain",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Bilbao, Spain",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Gothenberg, Sweden",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Krakow, Poland",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Lausanne, Switzerland",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Rome/Frascati, Italy",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Skopje, Macedonia",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Sofia, Bulgaria",3,10:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Toulouse, France",2,9:00am 4/20/13,7:00am 4/20/13,6:00pm 4/21/13,Europe,32,
"Puunene, HI, USA",-10,9:00am 4/20/13,7:00pm 4/20/13,6:00pm 4/21/13,North America,,
"Paris, France",2,9:30am 4/20/13,7:30am 4/20/13,6:00pm 4/21/13,Europe,,
"Exeter, UK",1,9:00am 4/20/13,8:00am 4/20/13,6:00pm 4/21/13,Europe,,*
"London, UK",1,9:00am 4/20/13,8:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Madrid, Spain",2,10:00am 4/20/13,8:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Abu Dhabi, UAE",8,12:00am 4/19/13,8:00pm 4/18/13,6:00pm 4/21/13,Asia,8,
"Ifrane, Morocco",0,9:00am 4/20/13,9:00am 4/20/13,6:00pm 4/21/13,Africa,,
"Saint Louis, Senegal",0,9:00am 4/20/13,9:00am 4/20/13,6:00pm 4/21/13,Africa,,
"Glasgow, Scotland, UK",1,9:00am 4/20/13,9:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Tampere, Finland",3,12:00pm 4/19/13,9:00am 4/20/13,6:00pm 4/21/13,Europe,,
"York, UK",1,10:00am 4/20/13,9:00am 4/20/13,6:00pm 4/21/13,Europe,,
"Auckland, New Zealand",12,9:00am 4/20/13,9:00pm 4/19/13,6:00pm 4/21/13,Australasia and Oceania,1,*
"Cleveland, OH, USA",-4,5:30pm 4/19/13,9:30pm 4/19/13,6:00pm 4/21/13,North America,,
